Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
259,A2 Revenue Expenditure,3 Health,Sewerage,A23925130863,_________ ________ _______ 5 ________,Zone No. 5,,0.00,3.39,11.01,50.00,20.00,20.00,10.00,50.00,,,
260,A2 Revenue Expenditure,3 Health,Sewerage,A23930130813,_________ ________ _______ 6 ________,Zone No. 6,,0.00,21.60,18.57,50.00,20.00,20.00,10.00,50.00,,,
261,A2 Revenue Expenditure,3 Health,Sewerage,A23935130863,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,16.19,18.93,50.00,20.00,20.00,10.00,50.00,,,
262,A2 Revenue Expenditure,3 Health,Sewerage,A23940130813,_________ ________ _______ 8 ______,Zone No. 8,,0.00,10.95,14.37,50.00,20.00,20.00,10.00,50.00,,,
263,A2 Revenue Expenditure,3 Health,Sewerage,A23945130863,_________ ________ _______ 9 ______,Zone No. 9,,0.00,24.37,16.10,50.00,20.00,20.00,10.00,50.00,,,
264,A2 Revenue Expenditure,3 Health,Sewerage,A23950130813,_________ ________ _______ 10 ________,Zone No. 10,,0.00,15.48,29.13,50.00,20.00,20.00,10.00,50.00,,,
265,A2 Revenue Expenditure,3 Health,Sewerage,A23902330818,"__________ _________ _____, _________",S.T.P.,,252.61,291.02,370.47,500.00,400.00,400.00,500.00,500.00,,,
266,A2 Revenue Expenditure,3 Health,Sewerage,A23901230819,____ ________/____________ ______ ____,HEALTH (S),,9.54,8.02,11.20,10.00,10.00,10.00,10.00,10.00,,,
267,A2 Revenue Expenditure,3 Health,Sewerage,A23901230820,______ ________/________ ____ ,HEALTH (S),,0.00,0.00,0.00,25.00,2.00,2.00,2.00,25.00,,,
268,A2 Revenue Expenditure,3 Health,Public Health,A23001141001,__________ _____ ________ _______ _ ________ _____/________ (1) _____ __________ _________ ________ ____ __. 5 ____ _____ (2) _____ ________ ________ _ _______ ______ __________ ______ ________ _____ ___________ __. 10 ____ _____ (3) _______ ____________ __________ _____ ________ ___________ ____ ________ __________ ‘‘_‘‘ ______ ______ _______ __________ __. 10 ____ _____ (4) _____ _____________ ________ ________ _____ __________ __. 10 ____ _____,HEALTH (M),,12.86,7.98,17.87,30.00,15.00,15.00,10.00,35.00,,,
269,A2 Revenue Expenditure,3 Health,Public Health,A23001141502,____ _______ _________ _ ______ _______ ___ _ ______ ____ _______,HEALTH (M),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,,,
270,A2 Revenue Expenditure,3 Health,Public Health,A23001141603,_____ ______ _ ___ ______ _____ø_ ____ - 2,HEALTH (M),,64.96,56.32,34.38,20.00,15.00,15.00,15.00,15.00,,,
271,A2 Revenue Expenditure,3 Health,Public Health,A23001141004,______ _____ _____ (____________ _____ _______ _______ ________ ____),HEALTH (M),,0.00,0.00,0.00,50.00,1.00,1.00,1.00,100.00,,,
272,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141905,_____ ______________ ____,HEALTH (M),,24.45,55.82,32.92,35.00,10.00,10.00,15.00,30.00,,,
273,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141906,_______ _________ ____,HEALTH (M),,25.53,19.54,24.13,25.00,25.00,25.00,20.00,35.00,,,
274,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141907,_________ ______ ____,HEALTH (M),,7.06,6.52,21.20,25.00,15.00,15.00,15.00,35.00,,,
275,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141908,____ _ ___ _______ _______ ____,HEALTH (M),,10.51,4.78,4.35,5.00,5.00,5.00,5.00,5.00,,,
276,A2 Revenue Expenditure,3 Health,Primary Health Care,A23301141009,____ _____ ____,HEALTH (M),,9.94,7.38,13.16,5.00,2.00,2.00,2.00,5.00,,,
277,A2 Revenue Expenditure,3 Health,Primary Health Care,A23301141310,_____ _______________ ______ ______ (1) _______ ________ _______ _________________ _______ _______ ______ _________ ____ __________ __. 5.00 ____ _____,HEALTH (M),,0.00,0.00,0.00,5.00,1.00,1.00,1.00,5.00,,,
278,A2 Revenue Expenditure,3 Health,Cremation and Burial,A23501141211,____ ____________ _____ (________________ ____) (1) _______ ___ ____ ___Ú_____ ____ ____ ____________ ___________ __. 50.00 ____ _____ ,HEALTH (M),,226.82,209.43,216.00,300.00,200.00,200.00,200.00,300.00,,,
279,A2 Revenue Expenditure,3 Health,Viral Statistics/NHP/prevention of food adulterations,A23601142012,_____ _____ø_ (1) _____ ______ _____ _____ ___ (2) ____ ___ (3) _______,HEALTH (M),,8.80,2.61,2.33,50.00,2.00,2.00,2.00,50.00,,,
280,A2 Revenue Expenditure,3 Health,Water Supply,A23801941013,_______ __ _____________ __________,WATER WORKS,,0.00,0.00,182.43,75.00,200.00,200.00,100.00,75.00,,,
281,A2 Revenue Expenditure,3 Health,Water Supply,A23801941014,__ ______ ______,PENCH PROJECT CELL,,0.75,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
282,A2 Revenue Expenditure,3 Health,Water Supply,A23801941015,____ _________ _ ____________ ____ ______ ____,WATER WORKS,,9.52,3.78,5.88,10.00,10.00,10.00,10.00,10.00,,,
283,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste management,A24201210001,___ ____ _ ______ __________ ________ ____,HEALTH (S),,6180.01,6870.68,7735.43,7500.00,7800.00,7800.00,8300.00,8000.00,,,
284,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste management,A24201210002,________ ________ __________ ________ ____,HEALTH (S),,2922.68,3071.94,4808.13,3200.00,4400.00,4400.00,4800.00,4800.00,,,
285,A2 Revenue Expenditure,4 Sanitation and SWM,Veterinary Services Management ,A24601110003,____ _______ ________ ____,HEALTH (M),,9.44,9.42,12.95,12.00,12.00,12.00,10.00,10.00,,,
286,A2 Revenue Expenditure,4 Sanitation and SWM,Cattle Pound,A24701010004,________ ________ ____,CATTELE POUND HELTH (S),,40.49,49.06,50.66,45.00,40.00,40.00,40.00,40.00,,,
287,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001221301,____ __________ ____ ______,HEALTH (S),,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,,,
288,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001220702,____ ________ _____,HEALTH (S),,4.14,50.16,7.15,25.00,5.00,5.00,5.00,25.00,,,
289,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001222003,______ ________ _______ _________ _ ________ ____,HEALTH (S),,34.81,19.28,34.88,25.00,10.00,10.00,15.00,25.00,,,
290,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001222004,____ _______ _____,HEALTH (S),,19.28,20.89,19.91,20.00,20.00,20.00,20.00,20.00,,,
291,A2 Revenue Expenditure,4 Sanitation and SWM,Cattle Pound,A24701022005,_________ _____/_____ ______ _____ _ _______ _____,CATTELE POUND HELTH (S),,6.30,3.96,8.46,5.00,5.00,5.00,5.00,10.00,,,
292,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste Transportation ,A24101231701,__Ú____ ______,HEALTH (S),,2260.70,2583.52,3469.17,2800.00,3500.00,3400.00,3900.00,3500.00,,,
293,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste Transportation ,A24101230802,_____ _____/____ ____ ________,HEALTH (S),,9.13,20.95,5.13,5.00,5.00,5.00,5.00,5.00,,,
294,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24501232003,___ _____ _______ _____,HEALTH (S),,7.14,5.99,7.60,4.00,4.00,4.00,4.00,4.00,,,
295,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24501330804,_________ ________ ________ _ ________,P.W.D.,,11.05,0.69,1.97,10.00,5.00,5.00,5.00,10.00,,,
296,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24505130864,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
297,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24510130814,_________ ________ _______ 2 ______,Zone No. 2,,0.00,0.69,0.00,1.00,0.50,0.50,0.50,1.00,,,
298,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24515130864,_________ ________ _______ 3 _________,Zone No. 3,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
299,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24520130814,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.00,0.98,1.00,0.50,0.50,0.50,1.00,,,
300,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24525130864,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
301,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24530130814,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.00,0.49,1.00,0.50,0.50,0.50,1.00,,,
302,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24535130864,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
303,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24540130814,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
304,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24545130864,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.00,0.50,1.00,0.50,0.50,0.50,1.00,,,
305,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24550130814,_________ ________ _______ 10 ________,Zone No. 10,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
306,A2 Revenue Expenditure,4 Sanitation and SWM,Veterinary Services Management ,A24601130805,__________ ________ ____,HEALTH (M),,0.95,0.12,0.50,1.00,1.00,1.00,1.00,1.00,,,
307,A2 Revenue Expenditure,4 Sanitation and SWM,Veterinary Services Management ,A24601232006,________ ________ __________ ______ ____,HEALTH (S),,0.00,0.00,0.49,0.50,0.50,0.50,0.50,0.50,,,
308,A2 Revenue Expenditure,4 Sanitation and SWM,Cattle Pound,A24701030807,_____________ ________ _ ________,CATTELE POUND HELTH (S),,3.78,0.00,0.49,5.00,1.00,1.00,1.00,5.00,,,
309,A2 Revenue Expenditure,4 Sanitation and SWM,Slaughter House,A24801330808,_____ ____ ________ _ ________,P.W.D.,,3.98,3.82,4.61,5.00,2.00,2.00,2.00,5.00,,,
310,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation ,A24001220301,______ ___ _____ _ ______ ____________ _____ _____ _ _______ ________ _____ ______,HEALTH (S),,27.47,25.69,56.82,25.00,50.00,50.00,50.00,50.00,,,
311,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation ,A24001220302,______ ____ ________ _._.__. __ _____/_______,HEALTH (S),,0.00,0.00,0.00,100.00,50.00,50.00,100.00,100.00,,,
312,A2 Revenue Expenditure,5 Public Education,Central Office/Administration ,A25002010001,________ (______) ________ ____,EDUCATION DEPT.,,0.82,0.86,0.00,25.00,10.00,10.00,10.00,10.00,,,
313,A2 Revenue Expenditure,5 Public Education,Primary Health Care,A25202010002,________ ____ ________ ____,EDUCATION DEPT.,,5530.78,6120.20,6513.54,6200.00,65000.00,6000.00,6500.00,6300.00,,,
314,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25302010003,________ ____ ________ ____,EDUCATION DEPT.,,1941.06,2182.79,2385.78,2500.00,2300.00,2300.00,2700.00,2600.00,,,
315,A2 Revenue Expenditure,5 Public Education,Public Library,A25600210004,_______ ________ ____,LIBRARY DEPT.,,166.91,176.49,203.07,200.00,200.00,200.00,200.00,200.00,,,
316,A2 Revenue Expenditure,5 Public Education,Central Office/Administration,A25600210005,______ __________ __________ ________ ____,LIBRARY DEPT.,,3.74,4.43,4.60,5.00,12.00,12.00,5.00,40.00,,,
317,A2 Revenue Expenditure,5 Public Education,Central Office/Administration,A25002020201,____ ________ ____________,EDUCATION DEPT.,,3.64,2.71,1.84,2.00,2.00,2.00,2.00,2.00,,,
318,A2 Revenue Expenditure,5 Public Education,Central Office/Administration,A25002021002,________ ____ ________ ______,EDUCATION DEPT.,,3.31,0.34,1.87,3.00,2.00,2.00,1.00,5.00,,,
319,A2 Revenue Expenditure,5 Public Education,Central Office/Administration,A25002020803,_______ ______ _ __________ _____,EDUCATION DEPT.,,0.00,0.76,0.00,1.00,1.00,1.00,1.00,15.00,,,
320,A2 Revenue Expenditure,5 Public Education,Central Office/Administration,A25002022004,_______ ____,EDUCATION DEPT.,,5.96,2.10,0.84,5.00,2.00,2.00,2.00,25.00,,,
321,A2 Revenue Expenditure,5 Public Education,Central Office/Administration,A25002020705,_____ _______________ _____  (__________________ _____ _ ___ _______ _________ _____),EDUCATION DEPT.,,363.30,46.93,0.43,250.00,55.00,55.00,50.00,350.00,,,
322,A2 Revenue Expenditure,5 Public Education,Primary Education,A25002021306,________ _ ________ _______ __________________ _______ ____ _____ (______ ________)/__________________ _______ _____ ________________ __.__.__./________/__.__.__.____. ______ _____),EDUCATION DEPT.,,21.35,12.29,0.00,225.00,15.00,15.00,15.00,225.00,,,
323,A2 Revenue Expenditure,5 Public Education,Primary Education,A25202022007,____________ _____ ____,EDUCATION DEPT.,,2.51,0.32,1.70,5.00,1.00,1.00,1.00,5.00,,,
324,A2 Revenue Expenditure,5 Public Education,Primary Education,A25202020808,"________ / ________ _ ______ _______________ _______________ ___________, ____, _____ _ ___ _______ _______",EDUCATION DEPT.,,36.26,62.70,53.70,100.00,25.00,25.00,25.00,100.00,,,
325,A2 Revenue Expenditure,5 Public Education,Primary Education,A25202020609,________ _____,EDUCATION DEPT.,,2.46,4.99,0.00,1.00,1.00,1.00,1.00,3.00,,,
326,A2 Revenue Expenditure,5 Public Education,Primary Education,A25202021010,________ ____ ________ ______,EDUCATION DEPT.,,26.11,26.77,26.99,25.00,30.00,30.00,25.00,35.00,,,
327,A2 Revenue Expenditure,5 Public Education,Primary Education,A25202030801,"________ ____ _____ ________/________ (_______ __. 50 ____ _______, ______ ________ ____________ _____)",EDUCATION DEPT.,,12.30,13.12,22.89,50.00,25.00,25.00,25.00,100.00,,,
328,A2 Revenue Expenditure,5 Public Education,Primary Education,A25205130865,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,1.39,5.00,2.50,2.50,2.50,5.00,,,
329,A2 Revenue Expenditure,5 Public Education,Primary Education,A25210130815,_________ ________ _______ 2 ______,Zone No. 2,,0.00,0.00,3.94,5.00,2.50,2.50,2.50,5.00,,,
330,A2 Revenue Expenditure,5 Public Education,Primary Education,A25215130865,_________ ________ _______ 3 _________,Zone No. 3,,0.00,0.00,0.49,5.00,2.50,2.50,2.50,5.00,,,
331,A2 Revenue Expenditure,5 Public Education,Primary Education,A25220130815,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.00,0.60,5.00,2.50,2.50,2.50,5.00,,,
332,A2 Revenue Expenditure,5 Public Education,Primary Education,A25225130865,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,3.27,5.00,2.50,2.50,2.50,5.00,,,
333,A2 Revenue Expenditure,5 Public Education,Primary Education,A25230130815,_________ ________ _______ 6 ________,Zone No. 6,,0.00,3.29,0.98,5.00,2.50,2.50,2.50,5.00,,,
334,A2 Revenue Expenditure,5 Public Education,Primary Education,A25235130865,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,4.07,3.00,5.00,2.50,2.50,2.50,5.00,,,
335,A2 Revenue Expenditure,5 Public Education,Primary Education,A25240130815,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,3.30,5.00,2.50,2.50,2.50,5.00,,,
336,A2 Revenue Expenditure,5 Public Education,Primary Education,A25245130865,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.00,2.48,5.00,2.50,2.50,2.50,5.00,,,
337,A2 Revenue Expenditure,5 Public Education,Primary Education,A25250130815,_________ ________ _______ 10 ________,Zone No. 10,,0.00,5.76,3.44,5.00,2.50,2.50,2.50,5.00,,,
338,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25302030802,________ ____ _____ ________/________,EDUCATION DEPT.,,9.42,5.50,8.78,30.00,15.00,15.00,10.00,30.00,,,
339,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25305130866,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,1.70,3.00,1.50,1.50,1.00,3.00,,,
340,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25310130816,_________ ________ _______ 2 ______,Zone No. 2,,0.00,0.49,1.48,3.00,1.50,1.50,1.00,3.00,,,
341,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25315130866,_________ ________ _______ 3 _________,Zone No. 3,,0.00,2.24,0.49,3.00,1.50,1.50,1.00,3.00,,,
342,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25320130816,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.00,2.35,3.00,1.50,1.50,1.00,3.00,,,
343,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25325130866,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,0.00,3.00,1.50,1.50,1.00,3.00,,,
344,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25330130816,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.97,0.00,3.00,1.50,1.50,1.00,3.00,,,
345,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25335130866,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,1.80,0.00,3.00,1.50,1.50,1.00,3.00,,,
346,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25340130816,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,0.95,3.00,1.50,1.50,1.00,3.00,,,
347,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25345130866,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.00,1.81,3.00,1.50,1.50,1.00,3.00,,,
348,A2 Revenue Expenditure,5 Public Education,Secondary Education ,A25350130816,_________ ________ _______ 10 ________,Zone No. 10,,0.00,0.00,0.00,3.00,1.50,1.50,1.00,3.00,,,
349,A2 Revenue Expenditure,5 Public Education,Public Library,A25600230803,_______ _ ______ ____ ________ _ ________,LIBRARY DEPT.,,9.50,5.75,7.16,20.00,10.00,10.00,10.00,20.00,,,
350,A2 Revenue Expenditure,5 Public Education,Public Library,A25605130867,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,0.99,2.00,1.00,1.00,1.00,2.00,,,
351,A2 Revenue Expenditure,5 Public Education,Public Library,A25610130817,_________ ________ _______ 2 ______,Zone No. 2,,0.00,0.00,0.50,2.00,1.00,1.00,1.00,2.00,,,
352,A2 Revenue Expenditure,5 Public Education,Public Library,A25615130867,_________ ________ _______ 3 _________,Zone No. 3,,0.00,0.00,0.50,2.00,1.00,1.00,1.00,2.00,,,
353,A2 Revenue Expenditure,5 Public Education,Public Library,A25620130817,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.00,0.61,2.00,1.00,1.00,1.00,2.00,,,
354,A2 Revenue Expenditure,5 Public Education,Public Library,A25625130867,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,1.42,2.00,1.00,1.00,1.00,2.00,,,
355,A2 Revenue Expenditure,5 Public Education,Public Library,A25630130817,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.00,0.83,2.00,1.00,1.00,1.00,2.00,,,
356,A2 Revenue Expenditure,5 Public Education,Public Library,A25635130867,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,0.00,0.94,2.00,1.00,1.00,1.00,2.00,,,
357,A2 Revenue Expenditure,5 Public Education,Public Library,A25640130817,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,0.48,2.00,1.00,1.00,1.00,2.00,,,
358,A2 Revenue Expenditure,5 Public Education,Public Library,A25645130867,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.00,0.00,2.00,1.00,1.00,1.00,2.00,,,
359,A2 Revenue Expenditure,5 Public Education,Public Library,A25650130817,_________ ________ _______ 10 ________,Zone No. 10,,0.00,0.00,0.89,2.00,1.00,1.00,1.00,2.00,,,
360,A2 Revenue Expenditure,5 Public Education,Public Library,A25600232004,____ __________ ________ ____,LIBRARY DEPT.,,56.66,61.66,64.72,80.00,35.00,35.00,25.00,80.00,,,
361,A2 Revenue Expenditure,5 Public Education,Primary Education,A25202040601,____ ____ _______ ____,EDUCATION DEPT.,,3.93,1.53,3.09,5.00,3.00,3.00,2.00,2.00,,,
362,A2 Revenue Expenditure,5 Public Education,Any other type of Education Activity ,A25802041002,______ ______ _ _____ ___________ ______ ____,EDUCATION DEPT.,,0.03,0.00,0.00,5.00,1.00,1.00,1.00,50.00,,,
363,A2 Revenue Expenditure,5 Public Education,Any other type of Education Activity ,A25802041003,"____ _____ _______________ ___________ _._.__. _______ ________ 4 __ ____, ____ ________ 7 __ ____, ________ 10 __ ____ _ ______ ___________ 12 __ ____ _____ _______________ _ _______________ __________ __________ ___ _________ ",EDUCATION DEPT.,,4.04,2.25,2.15,10.00,5.00,5.00,5.00,10.00,,,
364,A2 Revenue Expenditure,5 Public Education,Any other type of Education Activity ,A25802041004,15 _____ _ 26 __________ _______ ___ ____ ____ _____ _______________ _______ ____ ____,EDUCATION DEPT.,,138.05,105.64,146.92,200.00,100.00,100.00,100.00,250.00,,,
365,A2 Revenue Expenditure,5 Public Education,Innovation Education Scheme,A25802041005,_____ ________ _____ø_ ____ ____ _______ ______ ____ ________ ______ __________ _____ _________ ____ _______ ______,EDUCATION DEPT.,,5.05,1.81,2.79,5.00,1.00,1.00,1.00,5.00,,,
366,A2 Revenue Expenditure,5 Public Education,Innovation Education Scheme,A25802041006,_________ _______ ______ __________ _ ______ _______ _____ (1) ___. _______ _______ ______ _________________ _____ ___ __________ (2) ____ _______ _________________ ______ ______________ __. 10 ____ _____ ,EDUCATION DEPT.,,0.00,0.50,0.56,30.00,1.00,1.00,1.00,30.00,,,
367,A2 Revenue Expenditure,5 Public Education,Any other type of Education Activity ,A25802041007,______ ____ _________ _____ø_,EDUCATION DEPT.,,0.00,0.00,0.00,5.00,1.00,1.00,1.00,1.00,,,
368,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001610001,______ _________ ____,GARDEN DEPT.,,318.13,327.11,352.32,350.00,300.00,300.00,325.00,325.00,,,
369,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001610002,______ ________ __________ ________ ____,GARDEN DEPT.,,1.60,7.44,1.02,1.50,1.00,1.00,1.00,1.00,,,
370,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Play Ground,A26102210003,__________ ________ ____ (_______ _______ ________ ________ ____),SPORT & CULTURAL DEPT.,,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
371,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001622001,______ _____ ______ ____,GARDEN DEPT.,,12.67,7.72,4.92,10.00,4.00,4.00,3.00,3.00,,,
372,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Expenditure for Festival and competition/social environment ,A26502222002,__________ _____ø_ _______ _______ ________,SPORT & CULTURAL DEPT.,,0.00,0.73,0.00,3.00,1.00,1.00,1.00,3.00,,,
373,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001630801,"________ _________ ________, ________ _ _______ _____",GARDEN DEPT.,,0.00,0.49,9.81,25.00,5.00,25.00,5.00,25.00,,,
374,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001630802,_?_______ _________ ________ ________/________,GARDEN DEPT.,,0.00,0.00,0.00,10.00,1.00,1.00,1.00,5.00,,,
375,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001630803,_________ ______ _ _____ __________ ________ _ ________,GARDEN DEPT.,,39.68,87.62,74.15,175.00,100.00,150.00,50.00,200.00,,,
376,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001630804,_______ _____ _______ ________/________/_______,GARDEN DEPT.,,76.95,136.39,106.64,350.00,150.00,150.00,40.00,450.00,,,
377,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001630805,_________ ______ ________/________,GARDEN DEPT.,,0.00,0.49,0.00,1.00,1.00,1.00,1.00,1.00,,,
378,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Parks and Gardens,A26001632106,"____________ ______ _ ______, ___ _ __________ _____ ________/________",GARDEN DEPT.,,3.43,1.20,4.70,15.00,2.00,2.00,2.00,15.00,,,
379,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Play Ground,A26101330807,_________ ________/________,GARDEN DEPT.,,19.82,20.55,9.00,75.00,5.00,10.00,5.00,75.00,,,
380,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Play Ground,A26102230808,_____ _________ _ _____ ______ ________ ________/________,SPORT & CULTURAL DEPT.,,0.00,17.91,0.00,20.00,5.00,5.00,5.00,20.00,,,
381,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Play Ground,A26101330809,"____________ _____ ____, ________ ________/________ ____",P.W.D.,,2.57,0.00,0.00,75.00,2.00,2.00,2.00,75.00,,,
382,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Drama & Town Hall,A26601330810,______ ___ ________,P.W.D.,,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
383,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Drama & Town Hall,A26601330811,_______ ___ ________,P.W.D.,,3.15,2.37,0.38,15.00,1.00,1.00,1.00,15.00,,,
384,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Statues & Beautification of city projects and museum construction ,A26701330812,______ ______ __. ________ ______ _____ __________ ________ _ _________,P.W.D.,,0.00,0.00,0.00,10.00,1.00,1.00,1.00,10.00,,,
385,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Statues & Beautification of city projects and museum construction ,A26701330813,"_________ ________, ________ _ __________ ",P.W.D.,,3.77,4.12,6.20,10.00,5.00,5.00,5.00,10.00,,,
386,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Statues & Beautification of city projects and museum construction ,A26705130868,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
387,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Statues & Beautification of city projects and museum construction ,A26710130818,_________ ________ _______ 2 ______,Zone No. 2,,0.00,0.00,1.22,1.00,0.50,0.50,0.50,1.00,,,
388,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Statues & Beautification of city projects and museum construction ,A26715130868,_________ ________ _______ 3 _________,Zone No. 3,,0.00,0.34,0.00,1.00,0.50,0.50,0.50,1.00,,,
389,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Statues & Beautification of city projects and museum construction ,A26720130818,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.50,0.77,1.00,0.50,0.50,0.50,1.00,,,
390,A2 Revenue Expenditure,6 Urban Forestry and Environmental Activities,Statues & Beautification of city projects and museum construction ,A26725130868,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,0.10,1.00,0.50,0.50,0.50,1.00,,,
