Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
418,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Welfare of SC/ST/OBC,A27501322603,झोपडपट्टी वस्ती प्लेन टेबल सर्व्हे,P.W.D.,,0.00,0.60,0.00,25.00,1.00,1.00,1.00,25.00,,,
419,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Welfare of SC/ST/OBC,A27501322004,किरकोळ खर्च (सुवर्ण जयंती व गलिच्छ वस्ती),P.W.D.,,0.23,0.17,0.01,1.00,1.00,1.00,1.00,1.00,,,
420,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Housing for Poor,A27601322005,झोपडपट्टी पुर्नवसन कार्यालय संकीर्ण खर्च,P.W.D.,,0.00,5.09,0.00,10.00,10.00,10.00,5.00,10.00,,,
421,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Urban Forestry and Env. Services,A27702020806,प्राथमिक व माध्यमिक शाळेतील विद्यार्थ्यांना पाठयपुस्तक वाटप,EDUCATION DEPT.,,0.00,1.05,0.00,15.00,10.00,10.00,2.00,15.00,,,
422,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27501330801,गलीच्छ वस्ती सुस्थिती व दुरुसती,P.W.D.,,30.59,40.90,48.47,100.00,40.00,40.00,40.00,100.00,,,
423,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27505130869,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,1.92,6.58,10.00,4.00,4.00,4.00,10.00,,,
424,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27510130819,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,2.89,5.42,10.00,4.00,4.00,4.00,10.00,,,
425,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27515130869,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,1.62,9.85,10.00,4.00,4.00,4.00,10.00,,,
426,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27520130819,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,3.90,1.44,10.00,4.00,4.00,4.00,10.00,,,
427,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27525130869,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,7.58,4.17,10.00,4.00,4.00,4.00,10.00,,,
428,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27530130819,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,7.53,3.92,10.00,4.00,4.00,4.00,10.00,,,
429,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27535130869,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,3.92,3.81,10.00,4.00,4.00,4.00,10.00,,,
430,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27540130819,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,3.40,3.42,10.00,4.00,4.00,4.00,10.00,,,
431,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27545130869,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,1.48,5.09,10.00,4.00,4.00,4.00,10.00,,,
432,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27550130819,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,6.66,4.77,10.00,4.00,4.00,4.00,10.00,,,
433,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Slum Improvement ,A27501630802,उद्यान सुधारणा सुस्थीती/दुरुस्ती,GARDEN DEPT.,,4.98,10.71,14.26,15.00,15.00,15.00,15.00,15.00,,,
434,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Urban Poverty Alleviation Program,A27702030803,प्राथमिक शाळा इमारत दुरुस्ती,EDUCATION DEPT.,,15.40,0.47,12.05,50.00,10.00,10.00,10.00,50.00,,,
435,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Urban Poverty Alleviation Program,A27702030804,माध्यमिक शाळा इमारत दुरुस्ती,EDUCATION DEPT.,,0.00,0.47,9.08,10.00,10.00,10.00,10.00,10.00,,,
436,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Urban Poverty Alleviation Program,A27701330805,खांडकी व सिमेंट पेव्हिंग व दुरुस्ती,P.W.D.,,12.69,18.94,7.79,25.00,15.00,15.00,15.00,25.00,,,
437,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,WOMEN & Child Welfare Program,A27002441601,माता बाल संगोपन आणि महिला कल्याण (1) क्रांती ज्योती सावित्रीबाई फुले विमा योजने करिता रु. 20 लक्ष राखीव (2) जननी सुरक्षा एक्सप्रेस करिता रु. 25 लक्ष राखीव (3) महिला स्वंयम रोजगार योजना रु. 50 लक्ष राखीव (4) स्व. अनुसयाबाई काळे स्मृति समुपदेशन केंद्र (कौटुंबिक समस्या निवारण करण्याकरिता महिलांसाठी 10 केंद्रा करिता रु. 35 लक्ष राखीव),SOCIAL WELFARE,,104.61,98.40,68.28,225.00,75.00,75.00,100.00,225.00,,,
438,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Welfare of handicapped Program,A27301342302,अपंग व विकलांगांकरीता मदत (1) अपंग व विकलांगांकरीता सौर उर्जेवर किंवा बॅटरीवर चालणारे तीनचाकी (ई रिक्षा) वाहन खरेदी करीता रु. 50 लक्ष राखीव,P.W.D.,,0.00,3.81,4.48,300.00,250.00,250.00,300.00,300.00,,,
439,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Child welfare program,A27102441503,आर्थिक दृष्असया दुर्बल पाल्यांच्या बालकासाठी आरोग्य सुधार विमा योजना,SOCIAL WELFARE,,0.00,0.00,0.00,10.00,2.00,2.00,2.00,10.00,,,
440,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Welfare of SC/ST/OBC,A27501341004,झोपडप्टी वस्ती पट्टा वाटप करणे,P.W.D.,,0.00,0.34,0.00,50.00,1.00,1.00,1.00,50.00,,,
441,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Housing for Poor,A27601340705,झोपडपट्टी पुर्नवसन कार्यालय वेतनाकरीता मनपाचे अंशदान,P.W.D.,,12.69,10.52,40.00,60.00,50.00,50.00,55.00,60.00,,,
442,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Urban Poverty Alleviation Program,A27702042406,प्राथमिक व माध्यमिक शाळेतील मागासवर्गीय विद्यार्थ्यांना शिष्यवृत्ती,EDUCATION DEPT.,,0.00,0.00,0.00,10.00,5.00,5.00,5.00,10.00,,,
443,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Urban Poverty Alleviation Program,A27802440707,भिक्षा निवारण गृह,SOCIAL WELFARE,,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
444,A2 Revenue Expenditure,7 Urban Poverty Alleviation and Social Welfare,Urban Poverty Alleviation Program,A27702421308,आर्थिक दृष्टया दुर्बल नागरीकासाठी आरोग्य विमा योजना ,SOCIAL WELFARE,,0.00,16.90,0.00,5.00,2.00,2.00,2.00,5.00,,,
445,A2 Revenue Expenditure,8 Other Services,Press & Publicity,A28000120201,निविदा प्रक्रिया प्रतिपूर्ती खर्च,G.A.D.,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
446,A2 Revenue Expenditure,8 Other Services,Administration Computer & other Machine Maintenance and Repairs,A28100120202,झेरॉक्स मशीन यंत्र दुरुस्ती व टोन खरेदी,G.A.D.,,3.27,2.20,5.52,5.00,5.00,5.00,5.00,5.00,,,
447,A2 Revenue Expenditure,8 Other Services,Security & Vigilance,A28300121903,पोलीस पथक वेतन खर्च,G.A.D.,,0.00,66.13,19.78,100.00,25.00,25.00,25.00,100.00,,,
448,A2 Revenue Expenditure,8 Other Services,Security & Vigilance,A28300121904,मनपा कार्यालय सुरक्षा व्यवस्था,G.A.D.,,968.70,870.75,638.03,750.00,600.00,600.00,700.00,700.00,,,
449,A2 Revenue Expenditure,8 Other Services,Telephone/Mobile,A28400120505,दूरध्वनी व भ्रमनध्वनी,G.A.D.,,75.21,63.76,63.01,70.00,60.00,60.00,65.00,65.00,,,
450,A2 Revenue Expenditure,8 Other Services,Other Activities ,A28900121306,मोटार अॅक्सीडेंट क्लेम,G.A.D.,,6.74,0.00,0.00,10.00,2.00,2.00,2.00,10.00,,,
451,A2 Revenue Expenditure,8 Other Services,Administration Computer & other Machine Maintenance and Repairs,A28202030801,"संगणक, प्रिंटर, झेरॉक्स मशिन व इतर उपकरणाची दुरुस्ती व देखभाल",EDUCATION DEPT.,,274.21,390.50,88.75,200.00,110.00,110.00,115.00,200.00,,,
452,A2 Revenue Expenditure,8 Other Services,Security & Vigilance,A28301630802,चौकीदार गृह दुरुस्ती,GARDEN DEPT.,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
453,A2 Revenue Expenditure,8 Other Services,Emergency Work,A28801332203,आकस्मीक खर्च तथा मा. आयुक्त हयांनी पुर्वमान्यता दिलेला कुठलाही खर्च,P.W.D.,,104.43,113.36,33.52,300.00,100.00,100.00,150.00,300.00,,,
454,A2 Revenue Expenditure,8 Other Services,Administrative Training,A28700140401,मनुष्यबळ विकास कार्यøम अधिकारी व कर्मचारी तसेच स्वच्छता कर्मचाÚयांच्या प्र्रशिक्षणाकरीता ,G.A.D.,,0.30,0.41,1.24,50.00,5.00,5.00,10.00,50.00,,,
455,A2 Revenue Expenditure,8 Other Services,Other Activities ,A28901341002,नाविन्यपुर्ण कलपनेतुन नागरी सुविधा (1) आदर्श वस्ती योजना करीता रु. 4 कोटी राखीव (2) परिसर पालकत्व योजना करीता रु. 15 लक्ष राखीव (3) एकात्मीक तक्रार निवारण केंद्र च्या प्रसिध्दी करीता रु. 10 लक्ष राखीव (4) अंकीय (ई) ग्रंथालय करीता रु. 75 लक्ष राखीव (5) रेन वॉटरद हार्वेस्टिंग करीता मनपा चा सहयोग रु. 40 लक्ष राहील,P.W.D.,,0.00,0.00,0.00,1025.00,150.00,200.00,50.00,150.00,,,
456,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000610001,बोलपटगृह/कर विभाग/ कर आकारणी आस्थापना व्यय,PROPERTY TAX DEPT.,,1112.16,1306.15,1435.23,1400.00,1200.00,1200.00,1225.00,1225.00,,,
457,A2 Revenue Expenditure,9 Revenue and Tax,L.BT./Octroi,A29100510002,स्थानिक संस्था कर /जकात आस्थापना व्यय,L.B.T./OCTROI DEPT.,,952.91,855.90,816.56,850.00,800.00,800.00,825.00,825.00,,,
458,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000621301,मालमत्ता करदात्यांना विमा संरक्षण पुरविणे,PROPERTY TAX DEPT.,,8.83,0.00,0.00,10.00,1.00,1.00,1.00,10.00,,,
459,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000620302,मालमत्ता कर वसुली करीता जाहिरात व इतर व्यवस्था करणे,PROPERTY TAX DEPT.,,7.19,4.93,29.63,60.00,25.00,25.00,25.00,60.00,,,
460,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000620203,"रजिस्टर्स,ख् नकाशे, पुस्तके स्टेशनरी ई. किरकोळ",PROPERTY TAX DEPT.,,19.32,11.01,25.58,40.00,15.00,15.00,20.00,40.00,,,
461,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000622604,जी.आय.एस. सवेक्षण व स्कॅनींग करणे,PROPERTY TAX DEPT.,,128.98,50.86,69.50,300.00,25.00,25.00,25.00,800.00,,,
462,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000622005,किरकोळ खर्च,PROPERTY TAX DEPT.,,8.95,8.56,19.35,30.00,25.00,25.00,20.00,20.00,,,
463,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000622606,किओक्स बिलींग,PROPERTY TAX DEPT.,,0.00,0.00,0.00,50.00,1.00,1.00,1.00,10.00,,,
464,A2 Revenue Expenditure,9 Revenue and Tax,L.BT./Octroi,A29100522807,"रहदारी पास, खाजगीकरणावरील व्यय",L.B.T./OCTROI DEPT.,,57.83,27.94,127.85,100.00,50.00,50.00,10.00,10.00,,,
465,A2 Revenue Expenditure,9 Revenue and Tax,L.BT./Octroi,A29100520508,दूरसंचार व्यवस्था व्यय,L.B.T./OCTROI DEPT.,,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
466,A2 Revenue Expenditure,9 Revenue and Tax,L.BT./Octroi,A29100522009,संकीर्ण व्यय,L.B.T./OCTROI DEPT.,,64.89,42.31,7.60,25.00,20.00,20.00,20.00,25.00,,,
467,A2 Revenue Expenditure,9 Revenue and Tax,Property Tax,A29000631201,संगणक दुरुस्ती व देखभाल,PROPERTY TAX DEPT.,,5.97,0.00,0.97,10.00,2.00,2.00,2.00,10.00,,,
468,A2 Revenue Expenditure,9 Revenue and Tax,L.BT./Octroi,A29100531202,संगणक प्रवर्तन/सुस्थीती/दुरुस्ती,L.B.T./OCTROI DEPT.,,12.68,7.37,7.22,10.00,2.00,2.00,2.00,5.00,,,
469,A2 Revenue Expenditure,9 Revenue and Tax,L.BT./Octroi,A29100530203,वाहन प्रवर्तन/सुस्थीती/दुरुस्ती,L.B.T./OCTROI DEPT.,,5.76,6.07,0.49,10.00,2.00,2.00,2.00,5.00,,,
470,A2 Revenue Expenditure,9 Revenue and Tax,L.BT./Octroi,A29100530805,रहदारी करीतानाका चे प्रवर्तन/सुस्तीती/दुरुस्ती व्यय,L.B.T./OCTROI DEPT.,,12.37,2.91,8.53,15.00,2.00,2.00,2.00,2.00,,,
471,A4 Capital Expenditure,0 General Administration,Furniture Purchase,A40100174401,मनपाच्या सर्व पिवभागासाठी फर्निचर खरेदी,G.A.D.,,18.63,6.82,12.03,40.00,10.00,10.00,5.00,25.00,,,
472,A4 Capital Expenditure,0 General Administration,All types vehicle Purchase,A40100174502,मोटार गाडी खरेदी,G.A.D.,,12.12,0.00,29.36,25.00,10.00,10.00,10.00,25.00,,,
473,A4 Capital Expenditure,0 General Administration,Capital work for administration computer & other machine purchase,A40100174203,कार्यालयीन यंत्र सामूग्री खरेदी,G.A.D.,,10.29,1.52,1.66,5.00,3.00,3.00,3.00,3.00,,,
474,A4 Capital Expenditure,0 General Administration,Land and Estate,A40600870304,प्रकीर्ण लोकसुधार कार्य भु-अर्जन,ESTATE DEPT.,,83.45,0.00,1.46,500.00,25.00,25.00,200.00,1700.00,,,
475,A4 Capital Expenditure,0 General Administration,Account & Finance,S40200440701,नागपूर शहर विकास निधी अंतर्गत जे.एन.एन.यू.आर.एम प्रकल्पाचा तथा इतर मोइया स्वरुपाच्या भांडवली खर्चाच्या योजनासाठी मनपा सहभागातुन होणारा व्यय,ACCOUNTS AND FINANCE,,4626.00,10197.88,10104.00,6000.00,7500.00,7000.00,8000.00,6000.00,,,
476,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200440702,स्मार्ट सिटी योजनपे अंतर्गत विविध प्रकल्प/विकास कामाकरीता मनपाचा सहभाग,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,0.00,10.00,10.00,200.00,200.00,,,
477,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200440704,अटल मिशन फॉर रिज्युनिव्हेशन अॅण्ड अर्बन ट्रान्सफॉर्मेशन (ए.एम.आर.यू.टी) अंतर्गत विविध प्रकल्प/विकास कामाकरीता मनपाचा सहभाग,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,2000.00,,,
478,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200450201,गैरसरकारी कर्जाची परतफेड,ACCOUNTS AND FINANCE,,5867.92,4945.18,4152.38,5200.00,5500.00,5500.00,6500.00,6500.00,,,
479,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200450202,हुडको कडन घेतलेल्या कर्जाचे हप्ते,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
480,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200450103,एल.आय.सीत्र कडेन घेतलेलया कर्जाचे व्याज,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
481,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200450404,मनपाने उभारलेल्या गैरसरकारी कर्जाबाबत सरकारला द्यावयाची जमानती शुल्क व मुद्रांक शुल्क,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,25.00,10.00,10.00,10.00,10.00,,,
482,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200450205,पेंच 3 कर्जाची परत फेड,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00,,,
483,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200450206,खाजगी कर्जाची परतफेड,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
484,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200470101,अदत्त देणे भ्ांडवली,ACCOUNTS AND FINANCE,,0.00,1493.73,2105.21,2500.00,2500.00,2500.00,0.00,2500.00,,,
485,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200470202,बांधील भांडवली खर्चाची तरतुद उपलब्ध करणे,ACCOUNTS AND FINANCE,,1851.56,194.54,17.03,1500.00,100.00,50.00,25.00,1200.00,,,
486,A4 Capital Expenditure,0 General Administration,Account & Finance,A40200440703,म.रा. रस्ते महामंडळास आय.आर.डी.पी. अंतर्गत अंशदान,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00,,,
487,A4 Capital Expenditure,1 Planning and Regulation,Capital work for other Amenity ,A42001374601,"नागपूर शहराला पर्यअन हब बनविण्याच्या दृष्टीने पथम चरणाचे कार्य करणे. (1) 290 फुट उंचीचा फटाळा तलाव येथे राष्ट्रीय ध्वज उभारण्यासाठी रु. 100 लक्ष राखीव (2) प्रथम स्वतंत्रता संग्राम 150 व्च्या वर्षेगाठ निमीत्य ध्वनी, प्रकाश, पटकथा प्रयोग निमीती करीता रु. 100 लक्ष राखीव (3) ‘ब‘ वर्ग र्तीाक्षेत्रासाठी मनपासाठी रु. 250 लक्ष राखीव (4) स्व. मगनलाल बागडी हिंदुस्थानी लालसेना स्मृतीच्या संग्रहालयाचे निर्माण करण्यासाठी रु. 50 लक्ष राखीव ",P.W.D.,,0.00,0.00,0.00,250.00,100.00,200.00,25.00,500.00,,,
488,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42002370501,भांडेवाडी अंतर्गत रस्ते व परिसरातील विकास कामे,S.T.P.,,6.73,0.00,0.00,25.00,5.00,5.00,5.00,40.00,,,
489,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42001374602,खेडे विभगाची अन्य सुधारणा (1) नरसाहा गावातील विकास कामा करीता रु. 250 लक्ष राखीव (2) हुडकेश्वर गावातील विकास कामा करीता रु. 250 लक्ष राखीव व इतर खेछयासाठी उर्वरीत राखी राखीव,P.W.D.,,6.54,0.50,32.64,1250.00,800.00,800.00,600.00,1275.00,,,
490,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work for other civic Amenity ,A42001374603,नागपूर नगरी करीता विविध विकास कामे,P.W.D.,,60.00,245.82,483.28,500.00,500.00,500.00,500.00,500.00,,,
491,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work for other civic Amenity ,A42001374604,नागपूर नगरीतील आकस्मिक विविध विकास कामे,P.W.D.,,60.60,235.70,432.02,600.00,500.00,600.00,300.00,700.00,,,
492,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42001374605,वार्डातील लोक उपयोगी कामे (रु. 18 लक्ष प्रति सदस्या प्रमाणे राखीव तसेच नामनिर्देशित सदस्या करीता रु. 18 लक्ष प्रति सदस्या प्रमाणे राखीव),P.W.D.,,1302.14,1305.01,1714.70,2625.00,2625.00,2625.00,750.00,2700.00,,,
493,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42005174652,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,130.72,196.69,262.50,262.50,262.50,74.90,270.00,,,
494,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42010174602,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,142.94,146.18,210.00,210.00,210.00,60.03,216.00,,,
495,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42015174652,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,92.51,206.36,280.00,280.00,280.00,80.04,288.00,,,
496,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42020174602,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,105.26,137.42,210.00,210.00,210.00,60.03,216.00,,,
497,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42025174652,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,111.70,132.96,245.00,245.00,245.00,69.96,252.00,,,
498,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42030174602,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,100.33,165.14,245.00,245.00,245.00,69.96,252.00,,,
499,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42035174652,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,166.76,162.84,280.00,280.00,280.00,80.04,288.00,,,
500,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42040174602,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,140.69,141.03,280.00,280.00,280.00,80.04,288.00,,,
501,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42045174652,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,109.19,183.02,280.00,280.00,280.00,80.04,288.00,,,
502,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42050174602,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,138.20,197.25,245.00,245.00,245.00,69.96,252.00,,,
503,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42001370406,"विकास योजना इंमलबजावणी आणि विकास आराखछयानुसार विकास कामे (1) मौजा सिताबर्डी येथील मॅरिस कॉलेज टि पॉईट ते नागपूर विद्यापिठ ते इन्स्टीटयुट ऑफ सायन्स र्प्यंत रस्त्याचे बांधकाम करणे (ईपी/68) (2) गितांजली चौक ते गणेश चौक, गंजीपेठ ते गांधीसागर तलाव वॉकररोड पर्यंत डी.पी.प्रमाणे रस्तयाचे बांधकाम करणे (3)  केळीबा रोडचे डी.पी. प्रमाणे रस्त्याचे बांधकाम करणे (4) अजनी रेल्वे लॅन्ड रोडचे डी.पी. प्रमाणे रस्त्याचे बांधकाम करणे (5) कल्पना बिल्डींग रामदासपेठ ते साउथ अंबाझरी आय.टी.आय.पर्यंत डी.पी.प्रमाणे रस्त्याचे बांधकाम करणे (6) मौजा वाठोडा येथील डी.पी. प्रमाणे रस्त्याचे बांधकाम करणे (7) पाचपावली मंदीर ते रेल्वे क्रांसींग पर्यंत डी.पी. प्रमाणे रस्त्याचे बांधकाम करणे",Zone No. 1,,2.03,61.01,0.96,1500.00,200.00,250.00,300.00,1500.00,,,
504,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work for city and town planning scheme,A42001374607,मुख्य रस्तयावर प्रवेशव्दार निर्माण करणे,Zone No. 1,,4.76,20.54,1.33,20.00,1.00,1.00,1.00,20.00,,,
505,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work for other civic Amenity ,A42001474708,गुणवत्ता नियंत्रण कक्षाकरीता लागणारी सामुग्री व उपकरणे,HOTMIX,,0.01,0.00,0.00,1.00,1.00,1.00,1.00,50.00,,,
506,A4 Capital Expenditure,2 Public Works and Civic Amenities,Purchase equipment & machinery for other work,A42001370509,रस्त्यांची सुधारणा व निर्माण (फुटपाथ अंतर्भुत) (रु. 20 लक्ष प्रती प्रभाग प्रमाणे रु. 1420 लक्ष तसेच प्रीाग क्र. 72 करति रु. 30 लक्ष राखीव तरतुद),P.W.D.,,455.08,319.46,806.25,1450.00,1450.00,1450.00,700.00,1450.00,,,
507,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42005170553,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,48.16,88.47,150.00,150.00,150.00,72.00,150.00,,,
508,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42010170503,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,28.13,92.45,120.00,120.00,120.00,58.00,120.00,,,
509,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42015170553,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,34.12,107.57,160.00,160.00,160.00,77.00,160.00,,,
510,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42020170503,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,32.02,63.24,120.00,120.00,120.00,58.00,120.00,,,
511,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42025170553,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,9.42,92.89,140.00,140.00,140.00,68.00,140.00,,,
512,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42030170503,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,50.66,59.78,140.00,140.00,140.00,68.00,140.00,,,
513,A4 Capital Expenditure,2 Public Works and Civic Amenities,Capital work of Roads and Pavements & others civic works,A42035170553,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,27.94,64.90,160.00,160.00,160.00,77.00,160.00,,,
